PROJEKT;PROJEKT_EJER_KONTOR
121100;11
121101;11
121101;11
121101;11
121101;11
122184;2
122184;2
122184;2
123700;8
124401;11
124401;11
124401;11
124410;11
124410;11
124410;11
124410;11
124411;11
124411;11
124411;11
124501;11
124501;11
124501;11
124501;11
124510;11
124510;11
124510;11
124510;11
124700;4
124700;4
124700;4
124700;4
124700;4
125100;8
125100;8
125100;8
125100;8
125100;8
125100;8
125100;8
125100;8
125100;8
125100;8
125275;8
125301;8
125301;8
125301;8
125301;8
126000;8
126000;8
130052;3
130100;11
130100;11
130200;11
130200;11
130300;11
130300;11
130410;11
130410;11
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130500;2
130507;2
130510;2
130510;2
130520;2
130520;2
130520;2
130520;2
130520;2
130520;2
130520;2
130520;2
130525;2
130530;2
130535;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130540;2
130545;2
130545;2
130545;2
130545;2
130560;2
130560;2
130560;2
130560;2
130570;2
130570;2
130570;2
130600;11
130600;11
130600;11
130700;11
130800;11
130800;11
130800;11
130801;11
130801;11
130801;11
130900;11
130900;11
130900;11
130900;11
130900;11
130900;11
131000;11
131000;11
131200;11
131200;11
131313;13
131313;13
131313;13
131314;13
131314;13
131314;13
131314;13
131315;13
131315;13
131315;13
131315;13
131315;13
131316;13
131316;13
131316;13
131316;13
131316;13
131317;13
140000;3
140000;3
140000;3
140000;3
140000;3
140010;3
140701;3
150000;6
150000;6
150000;6
151214;15
151214;15
152020;2
152030;2
